Rank,Distance,Name,Nationality,Birth,Unknown,City,Date
1022,80.30,Sergey Alay,BLR,11.06.65,1,Gomel,24.07.1993
1022,80.30,Lance Deal,USA,21.08.61,1,Auckland,21.02.1998
1022,80.30,Karsten Kobs,GER,16.09.71,2,Villeneuve d'Ascq13.06.1999
1022,80.30,Libor Charfreitag,SVK,11.09.77,1c2,Walnut,17.04.2005
1022,80.30,Valeriy Sviatokha,BLR,20.07.81,1,Stayki,07.06.2008
1022,80.30,Dilshod Nazarov,TJK,06.05.82,1,Zagreb,13.09.2011
1022,80.30,Krisztián Pars,HUN,18.02.82,2,Moskva,12.08.2013
1035,80.29,Pavel Krivitskiy,BLR,17.04.84,1,Grodno,27.06.2010
1035,80.29,Nicola Vizzoni,ITA,04.11.73,1,Firenze,04.06.2011
1037,80.28,Heinz Weis,GER,14.07.63,1,Rhede,30.07.1989
1037,80.28,Ivan Tanev,BUL,01.05.57,2,Sofia,18.08.1990
1037,80.28,Tibor Gécsek,HUN,22.09.64,1,Leichlingen,22.06.1991
1037,80.28,Vasiliy Sidorenko,RUS,01.05.61,2,Tula,09.07.1997
1037,80.28,Heinz Weis,GER,14.07.63,1,Leverkusen,20.08.1997
1037,80.28,Vasiliy Sidorenko,RUS,01.05.61,1,Budapest,05.07.1998
1037,80.28,Primoz Kozmus,SLO,30.09.79,2,Zagreb,13.09.2011
1037,80.28,Krisztián Pars,HUN,18.02.82,1,Szekszárd,17.06.2012
1037,80.28,Lukás Melich,CZE,16.09.80,2,Szczecin,15.06.2013
1037,80.28,Pawel Fajdek,POL,04.06.89,1,Eugene,27.05.2016
1037,80.28,Wojciech Nowicki,POL,22.02.89,1,Wloclawek,28.08.2020
1037,80.28,Wojciech Nowicki,POL,22.02.89,1,Bydgoszcz,03.06.2022
1049,80.27,Ilya Konovalov,RUS,04.03.71,3,Edmonton,05.08.2001
1049,80.27,Andrey Skvaruk,UKR,09.03.67,3,Roma,12.07.2002
1049,80.27,Primoz Kozmus,SLO,30.09.79,1,Ostrava,11.06.2008
1052,80.26,Karl-Hans Riehm,FRG,31.05.51,1,Lignano Sabbiadoro,23.08.1980
1052,80.26,Yuriy Syedikh,RUS,11.06.55,1,Leselidze,21.05.1983
1052,80.26,Karl-Hans Riehm,FRG,31.05.51,1,Rhede,29.07.1983
1052,80.26,Detlef Gerstenberg,GDR,05.03.57,1,Berlin,24.05.1984
1052,80.26,Igor Nikulin,RUS,14.08.60,2,Odessa,21.08.1988
1052,80.26,Yuriy Syedikh,RUS,11.06.55,1,Athínai,07.09.1990
1052,80.26,Tibor Gécsek,HUN,22.09.64,1,Debrecen,14.09.1990
1052,80.26,Sergey Litvinov,RUS,23.01.58,1,Rostov-na-Donu,14.06.1992
1052,80.26,Igor Astapkovich,BLR,04.01.63,2,Budapest,03.06.1994
1052,80.26,Andrey Abduvaliyev,UZB,30.06.66,1,Nice,18.07.1994
1052,80.26,Andrey Skvaruk,UKR,09.03.67,1,Kyiv,17.05.1996
1052,80.26,Andrey Skvaruk,UKR,09.03.67,2,Formia,13.07.1997
1052,80.26,Szymon Ziólkowski,POL,01.07.76,1,Gold Coast,17.09.2000
1052,80.26,Nick Miller,GBR,01.05.93,1,Gold Coast,08.04.2018
1052,80.26,Wojciech Nowicki,POL,22.02.89,1,Lublin,20.07.2018
1052,80.26,Wojciech Nowicki,POL,22.02.89,1,Bydgoszcz,12.06.2019
1052,80.26,Aliaksandr Shymanovich BLR,09.02.98,1,Brest,01.07.2023
1069,80.25,Vadim Devyatovskiy,BLR,20.03.77,2,Stayki,27.06.2000
1069,80.25,Maciej Palyszko,POL,02.01.78,2,Gold Coast,17.09.2000
1069,80.25,Pavel Krivitskiy,BLR,17.04.84,1,Minsk,12.06.2012
1069,80.25,Andrei Varantsou,BLR,24.07.75,2,Minsk,12.06.2012
1073,80.24,Grigoriy Shevtsov,RUS,16.08.58,1,Volgograd,09.05.1983
1073,80.24,Ralf Haber,GER,18.08.62,1,Berlin,25.08.1987
1073,80.24,Tibor Gécsek,HUN,22.09.64,1,Szombathely,27.04.1991
1073,80.24,Yuriy Syedikh,RUS,11.06.55,4,Kyiv,11.07.1991
1073,80.24,Yuriy Syedikh,RUS,11.06.55,1,Berlin,10.09.1991
1073,80.24,Igor Nikulin,RUS,14.08.60,1,Bruxelles,28.08.1992
1073,80.24,Adrián Annus,HUN,28.06.73,1,Szombathely,22.05.1999
1073,80.24,Karsten Kobs,GER,16.09.71,1,Sevilla,22.08.1999
1073,80.24,Olli-Pekka Karjalainen FIN,07.03.80,1,Nadderud,08.07.2000
1073,80.24,Aleksey Zagornyi,RUS,31.05.78,1,Adler,17.02.2002
1073,80.24,Libor Charfreitag,SVK,11.09.77,1,Dubnica nad Váhom30.06.2007
1073,80.24,Dilshod Nazarov,TJK,06.05.82,3,Székesfehérvár,08.07.2014
1073,80.24,Quentin Bigot,FRA,01.12.92,4,Eugene,16.07.2022
1086,80.23,Heinz Weis,GER,14.07.63,3,Saint-Denis,04.06.1998
1086,80.23,Vladimir Maska,CZE,06.02.73,1,Ostrava,04.09.1999
1086,80.23,Koji Murofushi,JPN,08.10.74,1,Osaka,13.05.2000
1086,80.23,Ivan Tikhon,BLR,24.07.76,1,Minsk,28.06.2003
1086,80.23,Krisztián Pars,HUN,18.02.82,1,Debrecen,22.07.2006
1091,80.22,Yuriy Tarasyuk,BLR,11.04.57,1,Minsk,04.09.1985
1091,80.22,Vitaliy Alisevich,BLR,15.06.67,1,Stayki,08.05.1988
1091,80.22,Vitaliy Alisevich,BLR,15.06.67,2,Siauliai,22.05.1988
1091,80.22,Heinz Weis,GER,14.07.63,1,Beograd,04.06.1989
1091,80.22,Christoph Sahner,GER,23.09.63,2,Rhede,30.07.1989
1091,80.22,Andrey Skvaruk,UKR,09.03.67,1,Yalta,26.04.1992
1091,80.22,Vitaliy Alisevich,BLR,15.06.67,1,Stayki,31.07.1992
1091,80.22,Tibor Gécsek,HUN,22.09.64,1,Szombathely,02.08.1994
1099,80.21,Karsten Kobs,GER,16.09.71,1,Braunschweig,29.07.2000
1099,80.21,Olli-Pekka Karjalainen FIN,07.03.80,1,Thessaloníki,30.08.2000
1099,80.21,Szymon Ziólkowski,POL,01.07.76,1,Pretoria,23.03.2001
1099,80.21,Aleksandros Papadimitrou,GRE,18.06.73,3,München,07.08.2002
1099,80.21,Chris Harmse,RSA,31.05.73,1,Potchefstroom,20.04.2004
1099,80.21,Ivan Tikhon,BLR,24.07.76,2,Dubnica nad Váhom29.08.2006
1105,80.20,Günther Rodehau,GDR,06.07.59,1,Celje,05.05.1984
1105,80.20,Klaus Ploghaus,FRG,31.01.56,1,Leverkusen,27.07.1985
1105,80.20,Igor Shchegolev,RUS,26.10.60,1,Volgograd,06.09.1986
1105,80.20,Nikolay Lysenko,RUS,14.07.66,1,Krasnodar,06.04.1988
1105,80.20,Heinz Weis,GER,14.07.63,1,Trier,24.09.1989
1105,80.20,Plamen Minev,BUL,28.04.65,1,Sofia,18.05.1991
1105,80.20,Igor Nikulin,RUS,14.08.60,2,Köln,16.08.1992
1105,80.20,Igor Astapkovich,BLR,04.01.63,1,Budapest,15.06.1993
1105,80.20,Lance Deal,USA,21.08.61,1,Sankt Peterburg,24.07.1994
1105,80.20,Aleksandr Krikun,UKR,01.03.68,1,Kyiv,09.07.1995
1105,80.20,Karsten Kobs,GER,16.09.71,1,Rehlingen,24.05.1999
1105,80.20,Peter Botfa,HUN,30.06.79,2,Nyíregyháza,02.08.2003
1105,80.20,Olli-Pekka Karjalainen FIN,07.03.80,1,Helsinki,09.08.2003
1118,80.19,Zsolt Németh,HUN,09.11.71,2,Veszprém,10.09.1998
1118,80.19,Ilya Konovalov,RUS,04.03.71,2c1,Rüdlingen,13.08.2000
1118,80.19,Chris Harmse,RSA,31.05.73,1,Pretoria,12.04.2002
1118,80.19,Krisztián Pars,HUN,18.02.82,3,Warszawa,17.06.2007
1118,80.19,Ivan Tikhon,BLR,24.07.76,1,Ostrava,26.06.2007
1118,80.19,Primoz Kozmus,SLO,30.09.79,1,Velenje,26.06.2008
1118,80.19,Krisztián Pars,HUN,18.02.82,1,Bydgoszcz,10.06.2009
1118,80.19,Pawel Fajdek,POL,04.06.89,2,Bydgoszcz,03.06.2022
1126,80.18,Yuriy Syedikh,RUS,11.06.55,1,Tbilisi,27.06.1981
1126,80.18,Zdzislaw Kwasny,POL,06.11.60,2,London,21.08.1983
1126,80.18,Igor Nikulin,RUS,14.08.60,1,Adler,26.02.1984
1126,80.18,Yuriy Tarasyuk,BLR,11.04.57,1,Stayki,30.04.1984
1126,80.18,Sergey Litvinov,RUS,23.01.58,3,Berlin,20.07.1984
1126,80.18,Matthias Moder,GDR,17.06.63,1,Berlin,27.06.1985
1126,80.18,Christoph Sahner,GER,23.09.63,1,Wemmetsweiler,14.09.1985
1126,80.18,Igor Nikulin,RUS,14.08.60,1,Moskva,15.08.1987
1126,80.18,Igor Nikulin,RUS,14.08.60,5,Roma,01.09.1987
1126,80.18,Heinz Weis,GER,14.07.63,6,Roma,01.09.1987
1126,80.18,Artyom Rubanko,UKR,21.03.74,1,Kyiv,29.03.2002
1126,80.18,Vadim Devyatovskiy,BLR,20.03.77,1,Minsk,23.05.2004
1126,80.18,Daniel Haugh,USA,03.05.95,1,Eugene,25.06.2022
1139,80.17,Adrián Annus,HUN,28.06.73,4,Roma,12.07.2002
1139,80.17,Balázs Kiss,HUN,21.03.72,4,München,07.08.2002
1139,80.17,Vadim Devyatovskiy,BLR,20.03.77,1,Osaka,07.05.2005
1139,80.17,Koji Murofushi,JPN,08.10.74,1,Kobe,01.07.2006
1139,80.17,Krisztián Pars,HUN,18.02.82,1,Szombathely,18.05.2011
1139,80.17,Eivind Henriksen,NOR,14.09.90,1,Stjørdal,26.06.2022
1145,80.16,Anatoliy Chyuzhas,BLR,18.04.56,2,Klaipeda,27.05.1984
1145,80.16,Igor Astapkovich,BLR,04.01.63,1,Novopolotsk,07.09.1985
1145,80.16,Sergey Litvinov,RUS,23.01.58,2,Adler,24.02.1986
1145,80.16,Günther Rodehau,GDR,06.07.59,1,Jena,27.06.1986
1145,80.16,Andrey Abduvaliyev,UZB,30.06.66,1,Padova,29.08.1993
1145,80.16,Adrián Annus,HUN,28.06.73,2,Veszprém,08.08.1998
1145,80.16,Aleksey Zagornyi,RUS,31.05.78,q,München,06.08.2002
1145,80.16,Esref Apak,TUR,03.01.82,1,Konya,27.06.2004
1145,80.16,Lukás Melich,CZE,16.09.80,2,Ostrava,26.06.2013
1154,80.15,Lance Deal,USA,21.08.61,1,Eugene,24.06.2000
1154,80.15,Szymon Ziólkowski,POL,01.07.76,1,Chemnitz,22.07.2000
1154,80.15,Andrey Skvaruk,UKR,09.03.67,5,München,07.08.2002
1154,80.15,Krisztián Pars,HUN,18.02.82,1,Veszprém,17.04.2004
1154,80.15,Bence Halász,HUN,04.08.97,5,Eugene,16.07.2022
1159,80.14,Boris Zaychuk,RUS,28.08.47,1,Moskva,09.07.1978
1159,80.14,Igor Nikulin,RUS,14.08.60,1,Kyiv,22.08.1982
1159,80.14,Zdzislaw Kwasny,POL,06.11.60,1,Bialystock,03.09.1983
1159,80.14,Igor Nikulin,RUS,14.08.60,2,Moskva,06.06.1987
1159,80.14,Tore Gustafsson,SWE,11.02.62,1,Lappeenranta,04.07.1989
1159,80.14,Yuriy Syedikh,RUS,11.06.55,1,Hengelo,13.08.1989
1159,80.14,Tibor Gécsek,HUN,22.09.64,2,Split,31.08.1990
1159,80.14,Yuriy Syedikh,RUS,11.06.55,1,Versailles,21.05.1994
1159,80.14,Enrico Sgrulletti,ITA,24.04.65,1,Nice,02.03.1997
1159,80.14,Christophe Épalle,FRA,23.01.69,1,Colombes,26.03.2000
1159,80.14,Aleksandros Papadimitrou,GRE,18.06.73,1,Tríkala,16.06.2002
1159,80.14,Koji Murofushi,JPN,08.10.74,1,Jyväskylä,21.07.2006
1159,80.14,Libor Charfreitag,SVK,11.09.77,1,Trnava,12.05.2007
1159,80.14,Igors Sokolovs,LAT,17.08.74,1,Riga,30.05.2009
1159,80.14,Krisztián Pars,HUN,18.02.82,1,Izmir,18.06.2011
1159,80.14,Pawel Fajdek,POL,04.06.89,2,Lublin,20.07.2018
1159,80.14,Wojciech Nowicki,POL,22.02.89,2,Tomblaine,22.06.2019
1159,80.14,Quentin Bigot,FRA,01.12.92,1,Forbach,29.05.2022
1177,80.13,Karsten Kobs,GER,16.09.71,3,Budapest,19.08.1998
1177,80.13,Heinz Weis,GER,14.07.63,2,Johannesburg,12.09.1998
1177,80.13,Heinz Weis,GER,14.07.63,3c1,Rüdlingen,13.08.2000
1177,80.13,Nicola Vizzoni,ITA,04.11.73,2,Bremen,23.06.2001
1177,80.13,Nicola Vizzoni,ITA,04.11.73,4,Edmonton,05.08.2001
1177,80.13,Aleksey Zagornyi,RUS,31.05.78,2,Tula,10.07.2003
1177,80.13,Pawel Fajdek,POL,04.06.89,1,Buenos Aires,27.03.2015
1177,80.13,Wojciech Nowicki,POL,22.02.89,2,Cetniewo,08.07.2018
1185,80.12,Benjaminas Viluckis,LTU,20.03.61,2,Minsk,04.09.1985
1185,80.12,Viktor Apostolov,BUL,23.06.62,1,Sofia,22.08.1987
1185,80.12,Günther Rodehau,GDR,06.07.59,2,Dresden,11.06.1988
1185,80.12,Tibor Gécsek,HUN,22.09.64,3,Budapest,12.08.1988
1185,80.12,Vasiliy Sidorenko,RUS,01.05.61,1,Volgograd,03.06.1989
1185,80.12,Sergey Litvinov,RUS,23.01.58,3,Moskva,10.06.1990
1185,80.12,Jud Logan,USA,19.07.59,1,New Orleans,24.06.1992
1185,80.12,Vasiliy Sidorenko,RUS,01.05.61,2,Sankt Peterburg,24.07.1994
1185,80.12,Igor Astapkovich,BLR,04.01.63,1,Stayki,03.08.1999
1185,80.12,Vladislav Piskunov,UKR,07.06.78,1,Koncha-Zaspa,28.04.2000
1185,80.12,Balázs Kiss,HUN,21.03.72,3,Ad-Dawhah,15.05.2002
1185,80.12,Koji Murofushi,JPN,08.10.74,3,Saint-Denis,25.08.2003
1185,80.12,Esref Apak,TUR,03.01.82,1,Ankara,10.06.2007
1185,80.12,Aleksandr Vashchilo,BLR,30.08.81,2,Stayki,07.06.2008
1185,80.12,Wojciech Nowicki,POL,22.02.89,1,Berlin,07.08.2018
1200,80.11,Vasiliy Sidorenko,RUS,01.05.61,1,Tolyatti,14.05.2000
1200,80.11,Aleksandros Papadimitrou,GRE,18.06.73,1cA,Athínai,11.05.2002
1200,80.11,Pawel Fajdek,POL,04.06.89,2,Paris,18.06.2022
1203,80.10,Tibor Gécsek,HUN,22.09.64,1,Schwechat,15.06.1988
1203,80.10,Heinz Weis,GER,14.07.63,1,Lappeenranta,09.07.1990
1203,80.10,Igor Nikulin,RUS,14.08.60,2,Moskva,11.06.1991
1203,80.10,Yuriy Syedikh,RUS,11.06.55,1,Forbach,12.10.1991
1203,80.10,Sergey Alay,BLR,11.06.65,2,Stayki,31.07.1992
1203,80.10,Igor Astapkovich,BLR,04.01.63,2,Nice,18.07.1994
1203,80.10,Karsten Kobs,GER,16.09.71,3,Dortmund,07.06.1998
1203,80.10,Adrián Annus,HUN,28.06.73,1,Suita,11.05.2002
1203,80.10,Markus Esser,GER,03.02.80,1,Leichlingen,07.05.2006
1203,80.10,Aleksey Zagornyi,RUS,31.05.78,1,Adler,20.02.2009
1203,80.10,Pawel Fajdek,POL,04.06.89,1,Szczecin,18.06.2016
1214,80.09,Vladimir Maska,CZE,06.02.73,1,Turnov,12.05.2001
1214,80.09,Primoz Kozmus,SLO,30.09.79,1,Velenje,28.06.2007
1214,80.09,Libor Charfreitag,SVK,11.09.77,2,Réthymno,18.07.2007
1214,80.09,Szymon Ziólkowski,POL,01.07.76,7,Osaka,27.08.2007
1214,80.09,Kibwe Johnson,USA,17.08.81,1,Uberlândia,18.05.2011
1214,80.09,Pawel Fajdek,POL,04.06.89,2,Bydgoszcz,12.06.2019
1214,80.09,Wojciech Nowicki,POL,22.02.89,1,Chorzów,25.08.2020
1214,80.09,Pawel Fajdek,POL,04.06.89,q,Eugene,15.07.2022
1222,80.08,Igor Nikulin,RUS,14.08.60,1,Praha,11.05.1980
1222,80.08,Yuriy Syedikh,RUS,11.06.55,4,Moskva,10.06.1990
1222,80.08,Yuriy Syedikh,RUS,11.06.55,1,Moskva,09.05.1991
1222,80.08,Lance Deal,USA,21.08.61,1,Portland,22.05.1993
1222,80.08,Andrey Abduvaliyev,UZB,30.06.66,1,Moskva,26.08.2000
1222,80.08,Hrístos Polihroníou,GRE,31.03.72,1,Athínai,29.04.2002
1222,80.08,Koji Murofushi,JPN,08.10.74,2,Madrid,20.09.2002
1229,80.07,Sergey Kirmasov,RUS,25.03.70,1,Tula,14.07.2001
1229,80.07,Balázs Kiss,HUN,21.03.72,2,Praha,17.06.2002
1229,80.07,Balázs Kiss,HUN,21.03.72,5,Roma,12.07.2002
1229,80.07,Krisztián Pars,HUN,18.02.82,1,Königs Wusterhausen,01.09.2006
1229,80.07,Primoz Kozmus,SLO,30.09.79,1,Warszawa,15.06.2008
1229,80.07,Krisztián Pars,HUN,18.02.82,q,Beijing,15.08.2008
1229,80.07,Lukás Melich,CZE,16.09.80,1,Castres,30.06.2013
1236,80.06,Igor Nikulin,RUS,14.08.60,5,Adler,01.06.1988
1236,80.06,Viktor Apostolov,BUL,23.06.62,1,Sofia,19.05.1990
1236,80.06,Balázs Kiss,HUN,21.03.72,1,Veszprém,30.08.1997
1236,80.06,Nicolas Figère,FRA,19.05.79,3cA,Clermont-Ferrand 15.06.2001
1240,80.05,Balázs Kiss,HUN,21.03.72,2,Formia,14.07.2001
1240,80.05,Ilya Konovalov,RUS,04.03.71,2,Tula,14.07.2001
1240,80.05,Krisztián Pars,HUN,18.02.82,1,Veszprém,24.04.2004
1240,80.05,Pawel Fajdek,POL,04.06.89,1,Gwangju,09.07.2015
1244,80.04,Klaus Ploghaus,FRG,31.01.56,1,Rehlingen,23.05.1983
1244,80.04,Karl-Hans Riehm,FRG,31.05.51,1,Helsinki,06.07.1983
1244,80.04,Matthias Moder,GDR,17.06.63,1,Leipzig,09.08.1985
1244,80.04,Benjaminas Viluckis,LTU,20.03.61,3,Moskva,09.07.1986
1244,80.04,Benjaminas Viluckis,LTU,20.03.61,6,Leningrad,12.06.1988
1244,80.04,Vitaliy Alisevich,BLR,15.06.67,2,Stayki,31.07.1988
1244,80.04,Yuriy Syedikh,RUS,11.06.55,1,Saint-Denis,23.06.1989
1244,80.04,Igor Nikulin,RUS,14.08.60,1,Adler,23.02.1992
1244,80.04,Vasiliy Sidorenko,RUS,01.05.61,2,Moskva,19.06.1993
1244,80.04,Balázs Kiss,HUN,21.03.72,1,Turku,10.06.1995
1244,80.04,Heinz Weis,GER,14.07.63,4,Budapest,19.08.1998
1244,80.04,Szymon Ziólkowski,POL,01.07.76,1,Stellenbosch,30.03.2001
1244,80.04,Krisztián Pars,HUN,18.02.82,1,Zagreb,09.09.2008
1244,80.04,Ivan Tikhon,BLR,24.07.76,1,Grodno,24.06.2016
1244,80.04,Pawel Fajdek,POL,04.06.89,2,Chorzów,08.06.2018
1259,80.03,Zsolt Németh,HUN,09.11.71,2,Rüdlingen,28.08.1999
1259,80.03,Vasiliy Sidorenko,RUS,01.05.61,3,Tula,14.07.2001
1259,80.03,Olli-Pekka Karjalainen FIN,07.03.80,1,Joensuu,19.07.2002
1259,80.03,Adrián Annus,HUN,28.06.73,2,Paris,14.09.2002
1259,80.03,Tibor Gécsek,HUN,22.09.64,1,Budapest,28.09.2002
1259,80.03,Krisztián Pars,HUN,18.02.82,1,Dubnica nad Váhom29.08.2005
1259,80.03,Krisztián Pars,HUN,18.02.82,1,Bydgoszcz,01.07.2008
1259,80.03,Pawel Fajdek,POL,04.06.89,1,Forbach,26.05.2019
1267,80.02,Igor Nikulin,RUS,14.08.60,1,Leselidze,24.04.1980
1267,80.02,Yuriy Syedikh,RUS,11.06.55,1,Zürich,19.08.1987
1267,80.02,Vasiliy Sidorenko,RUS,01.05.61,1,Baku,13.09.1987
1267,80.02,Ken Flax,USA,20.04.63,1,Modesto,07.05.1988
1267,80.02,Ivan Tanev,BUL,01.05.57,1,Sofia,12.08.1988
1267,80.02,Igor Nikulin,RUS,14.08.60,3,Split,31.08.1990
1267,80.02,Sergey Gavrilov,RUS,22.05.70,1,Togliatti,14.05.1995
1267,80.02,Balázs Kiss,HUN,21.03.72,1,Lausanne,03.07.1996
1267,80.02,Aleksandr Krikun,UKR,01.03.68,3,Atlanta,28.07.1996
1267,80.02,Zsolt Németh,HUN,09.11.71,2,Budapest,22.07.2000
1267,80.02,Szymon Ziólkowski,POL,01.07.76,1,Sydney,24.09.2000
1267,80.02,Tibor Gécsek,HUN,22.09.64,2c2,Szombathely,16.07.2002
1267,80.02,Primoz Kozmus,SLO,30.09.79,1,Novo Mesto,19.06.2007
1267,80.02,Pavel Krivitskiy,BLR,17.04.84,2,Stayki,19.07.2008
1267,80.02,Libor Charfreitag,SVK,11.09.77,1,Barcelona,28.07.2010
1267,80.02,Aleksey Zagornyi,RUS,31.05.78,1,Ostrava,30.05.2011
1267,80.02,Wojciech Nowicki,POL,22.02.89,1,Chorzów,16.07.2023
1284,80.01,Vladislav Piskunov,UKR,07.06.78,2,Donetsk,13.06.2002
1284,80.01,Krisztián Pars,HUN,18.02.82,1,Szolnok,26.05.2007
1286,80.00,Karl-Hans Riehm,FRG,31.05.51,1,Madrid,24.05.1980
1286,80.00,Anatoliy Chyuzhas,BLR,18.04.56,1,Stayki,29.05.1983
1286,80.00,Grigoriy Shevtsov,RUS,16.08.58,1,Gorkiy,02.07.1983
1286,80.00,Yuriy Tarasyuk,BLR,11.04.57,2,Banská Bystrica,09.09.1984
1286,80.00,Jüri Tamm,EST,05.02.57,2,Kyiv,27.07.1986
1286,80.00,Vasiliy Sidorenko,RUS,01.05.61,1,Krasnodar,15.08.1987
1286,80.00,Heinz Weis,GER,14.07.63,1,Duisburg,16.07.1989
1286,80.00,Yuriy Syedikh,RUS,11.06.55,1,Mäntyharju,04.07.1991
1286,80.00,Vitaliy Alisevich,BLR,15.06.67,2,Stayki,12.05.1992
1286,80.00,Plamen Minev,BUL,28.04.65,1,Sofia,11.07.1992
1286,80.00,Balázs Kiss,HUN,21.03.72,1,Saint-Denis,03.06.1996
1286,80.00,Vladislav Piskunov,UKR,07.06.78,1,Kyiv,14.05.1999
1286,80.00,Markus Esser,GER,03.02.80,1,Leichlingen,04.06.2005
1286,80.00,Ivan Tikhon,BLR,24.07.76,2,Athínai,16.09.2006
1286,80.00,Igor Vinichenko,RUS,11.04.84,1,Adler,11.02.2007
1286,80.00,Aleksey Zagornyi,RUS,31.05.78,1,Cheboksary,26.07.2009
1286,80.00,Wojciech Nowicki,POL,22.02.89,2,Bydgoszcz,30.06.2021
1286,80.00,Wojciech Nowicki,POL,22.02.89,1,Chorzów,04.06.2023
1286,80.00,Pawel Fajdek,POL,04.06.89,4,Budapest,20.08.2023
