Year of event,Event dates,Event name,Event distance/length,Event number of finishers,Athlete performance,Athlete club,Athlete country,Athlete year of birth,Athlete gender,Athlete age category,Athlete average speed,Athlete ID
2014,13.09.2014,Self-Transcendence 6-Stunden Lauf München - 50km Split (GER),50km,21,13128.0,1.FC Kaiserslautern /L...,GER,1968.0,M,M45,13.711,24902
2013,16.03.2013,Self-Transcendence 6-Stunden-Lauf Nürnberg -  50km Split (GER),50km,106,12427.0,*Heroldsbach,GER,1977.0,M,M35,14.485,69142
2016,02.04.2016,Self-Transcendence 6-Stunden-Lauf Nürnberg - 50 km Split (GER),50km,187,12037.0,LG Bamberg,HUN,1986.0,M,M30,14.954,423452
2017,18.03.2017,Self-Transcendence 6-Stunden-Lauf Nürnberg - 50 km Split (GER),50km,99,12991.0,LSG Karlsruhe,GER,1977.0,M,M40,13.856,69142
2015,07.03.2015,Self-Transcendence 6-Stunden-Lauf Nürnberg - 50km Split (GER),50km,90,13245.0,LG DUV,GER,1973.0,M,M40,13.59,391435
2014,15.03.2014,Self-Transcendence 6-Stunden-Lauf Nürnberg - 50km Split (GER),50km,112,13098.0,LG DUV,GER,1973.0,M,M40,13.743,391435
2012,17.03.2012,Self-Transcendence 6-Stunden-Lauf Nürnberg - 50km Split (GER),50km,97,12377.0,TV Jahn Kempten,GER,1977.0,M,M35,14.543,69142
2020,04.01.2020,Selva Costera (CHI),50km,28,13842.0,,PER,1988.0,M,M23,13.004,18623
2019,05.01.2019,Selva Costera (CHI),50km,32,15918.0,,CHI,1978.0,M,M40,11.308,0
2018,06.01.2018,Selva Costera (CHI),50km,22,17499.0,Tnfrc,CHI,1978.0,M,M35,10.286,0
2018,25.02.2018,Semaphore Coastal Marathon 50km (AUS),50km,5,12281.0,,AUS,1975.0,M,M40,14.657,37505
2013,02.03.2013,Seneca Creek Greenway Trail 50k (USA),50km,180,16034.0,"*Washington, DC",USA,1985.0,M,M23,11.226,868583
2019,02.03.2019,Seneca Creek Greenway Trail 50k (USA),50km,119,15072.0,"*Darnestown, MD",USA,1985.0,M,M23,11.943,649975
2012,03.03.2012,Seneca Creek Greenway Trail 50k (USA),50km,180,16455.0,"*New York, NY",CAN,1965.0,M,M45,10.939,122897
2017,04.03.2017,Seneca Creek Greenway Trail 50k (USA),50km,156,14695.0,"*Silver Spring, MD",USA,1983.0,M,M23,12.249,360732
2011,05.03.2011,Seneca Creek Greenway Trail 50k (USA),50km,168,13807.0,"*Denver, PA",USA,1989.0,M,MU23,13.037,239350
2016,05.03.2016,Seneca Creek Greenway Trail 50k (USA),50km,129,15552.0,"*Washington, DC",USA,1991.0,M,M23,11.574,382694
2010,06.03.2010,Seneca Creek Greenway Trail 50k (USA),50km,134,15443.0,"*Bethesda, MD",USA,1980.0,M,M23,11.656,1236085
2020,07.03.2020,Seneca Creek Greenway Trail 50k (USA),50km,167,14827.0,"*Darnestown, MD",USA,1985.0,M,M23,12.14,649975
2014,08.03.2014,Seneca Creek Greenway Trail 50k (USA),50km,206,17492.0,"*Philadelphia, PA",USA,1979.0,M,M23,10.29,78958
2021,13.03.2021,Seneca Creek Greenway Trail 50k (USA),50km,92,13903.0,"*Gaithersburg, MD",USA,1985.0,M,M35,12.947,649975
2015,21.03.2015,Seneca Creek Greenway Trail 50k (USA),50km,106,15677.0,"*Washington, DC",USA,1991.0,M,M23,11.482,382694
2022,28.-29.05.2022,Seoul - Pyongyang Ultra Marathon - 50 km (KOR),50km,30,13320.0,,KOR,1957.0,M,M60,13.514,414193
2021,29.-30.05.2021,Seoul - Pyongyang Ultra Marathon - 50 km (KOR),50km,9,14220.0,,KOR,,M,,12.658,25148
2021,17.10.2021,Seoul 100 Korea - SKY B (KOR),50km,124,15017.0,,KOR,1988.0,M,M23,11.986,32081
2018,04.08.2018,Seoul Heat Ultra Marathon - 50 km (KOR),50km,20,16260.0,,KOR,1970.0,M,M45,11.07,80866
2020,29.06.2020,Seoul Int. Ultra Trail 50 km (KOR),50km,3,43560.0,,KOR,,M,,4.132,70653
2008,19.-20.04.2008,Seoul Namsan Ultra Marathon 50 km (KOR),50km,9,16592.0,,KOR,,M,,10.849,1232734
2007,14.-15.04.2007,Seoul Namsan Ultra Marathon 60 km (KOR),50km,10,16080.0,,KOR,1961.0,M,M45,11.194,1188898
2022,15.10.2022,Seoul Ultra Trail 50K (KOR),50km,246,19991.0,,KOR,1988.0,M,M23,9.004,32081
2019,19.10.2019,Seoul Ultra Trail 50K (KOR),50km,108,17898.0,,KOR,1988.0,M,M23,10.057,32081
2011,08.05.2011,Sequoia Trail Run (USA),50km,25,14773.0,"*Palo Alto, CA",USA,1983.0,M,M23,12.184,1264769
2008,16.02.2008,Sequoia Trail Run (USA),50km,66,14134.0,"*Berkeley, CA",USA,1965.0,M,M40,12.735,421709
2007,17.02.2007,Sequoia Trail Run (USA),50km,54,16970.0,"*Modesto, CA",USA,1974.0,M,M23,10.607,45970
2009,18.07.2009,Sequoia Trail Run (USA),50km,42,16275.0,"*Oakland, CA",USA,1969.0,M,M35,11.06,174394
2006,19.02.2006,Sequoia Trail Run (USA),50km,24,18607.0,"*Oakland, CA",USA,1962.0,M,M40,9.674,1106530
2010,24.07.2010,Sequoia Trail Run (USA),50km,31,17520.0,"*Kensington, MD",USA,1983.0,M,M23,10.274,333401
2005,26.02.2005,Sequoia Trail Run (USA),50km,38,19065.0,"*Livermore, CA",USA,1955.0,M,M45,9.441,92696
2010,27.02.2010,Sequoia Trail Run (USA),50km,107,14437.0,"*Palo Alto, CA",USA,1985.0,M,M23,12.468,1238581
2009,28.02.2009,Sequoia Trail Run (USA),50km,95,14889.0,"*Oakland, CA",USA,1976.0,M,M23,12.089,39343
2011,28.08.2011,Sequoia Trail Run (USA),50km,37,17430.0,,USA,1969.0,M,M40,10.327,174394
2018,24.11.2018,Serebryanoborsky Marathon (RUS),50km,5,15787.0,*Moskva,RUS,1961.0,M,M55,11.402,36358
2017,01.07.2017,Serpent Trail Race 50km (GBR),50km,45,15438.0,,GBR,1980.0,M,M35,11.66,47601
2022,02.07.2022,Serpent Trail Race 50km (GBR),50km,459,11607.0,Clayton-le-Moors Harriers,GBR,1990.0,M,M23,15.508,426757
2021,03.07.2021,Serpent Trail Race 50km (GBR),50km,302,11758.0,,GBR,1982.0,M,M35,15.309,795355
2019,06.07.2019,Serpent Trail Race 50km (GBR),50km,241,15568.0,,USA,1996.0,M,MU23,11.562,52773
2018,07.07.2018,Serpent Trail Race 50km (GBR),50km,134,15030.0,,GBR,1982.0,M,M35,11.976,240915
2019,14.09.2019,Serre Che Trail - Grand Tour des Cerces (FRA),50km,282,22265.0,Méribel Sport Montagne...,FRA,1991.0,M,M23,8.084,90788
2018,16.09.2018,Serre Che Trail - Grand Tour des Cerces (FRA),50km,231,21194.0,,FRA,1991.0,M,M23,8.493,268443
2017,17.09.2017,Serre Che Trail - Grand Tour des Cerces (FRA),50km,133,21511.0,Uglow-Optisport,FRA,1989.0,M,M23,8.368,2611
2018,08.12.2018,Seth’s Fat Ass 50K (USA),50km,32,15100.0,"*Hopkinton, NH",USA,1971.0,F,W45,11.921,229525
2012,10.12.2012,Seth’s Fat Ass 50K (USA),50km,54,14290.0,,USA,,M,,12.596,1368171
2014,13.12.2014,Seth’s Fat Ass 50K (USA),50km,31,14943.0,,USA,1980.0,M,M23,12.046,416957
2013,14.12.2013,Seth’s Fat Ass 50K (USA),50km,39,12490.0,,USA,1977.0,M,M35,14.412,284471
2017,16.12.2017,Seth’s Fat Ass 50K (USA),50km,21,14662.0,"*Northampton, MA",USA,1978.0,M,M35,12.277,69515
2011,17.12.2011,Seth’s Fat Ass 50K (USA),50km,28,12740.0,,USA,1963.0,M,M45,14.129,55718
2010,18.12.2010,Seth’s Fat Ass 50K (USA),50km,11,12050.0,,USA,1981.0,M,M23,14.938,906230
2019,21.12.2019,Seth’s Fat Ass 50K (USA),50km,41,14118.0,"*Northampton, MA",USA,1978.0,M,M40,12.75,69515
2020,15.08.2020,Seven Sisters Skyline (IRL),50km,126,25873.0,,IRL,1984.0,M,M35,6.957,208830
2019,10.08.2019,Seven summits MTB vs Trail Runners 50 Km Challenge (USA),50km,3,27815.0,"*Chewelah, WA",USA,1964.0,M,M50,6.471,739876
1999,28.11.1999,Seward Park 50 Km Run (USA),50km,17,12559.0,,CAN,1968.0,M,M23,14.332,1072591
2005,09.04.2005,Shades Mills 50 km Trail Run (CAN),50km,57,13886.0,"*Ancaster, ON",CAN,1965.0,M,M35,12.963,1138279
1991,01.06.1991,Shadow of the Giants 50K (USA),50km,163,13828.0,,USA,1954.0,M,M35,13017.0,165468
1996,01.06.1996,Shadow of the Giants 50K (USA),50km,153,14558.0,,USA,1970.0,M,M23,12.364,1045409
2002,01.06.2002,Shadow of the Giants 50K (USA),50km,84,16071.0,,USA,1944.0,M,M55,11.2,449990
1990,02.06.1990,Shadow of the Giants 50K (USA),50km,136,13421.0,,USA,1958.0,M,M23,13412.0,1600042
2001,02.06.2001,Shadow of the Giants 50K (USA),50km,99,15144.0,,USA,1954.0,M,M45,11.886,165468
2007,02.06.2007,Shadow of the Giants 50K (USA),50km,80,16378.0,,MEX,1971.0,M,M35,10.99,165367
2012,02.06.2012,Shadow of the Giants 50K (USA),50km,93,12696.0,,MEX,1971.0,M,M40,14.178,165367
2000,03.06.2000,Shadow of the Giants 50K (USA),50km,102,14470.0,,USA,1954.0,M,M45,12.44,165468
2006,03.06.2006,Shadow of the Giants 50K (USA),50km,91,16384.0,,MEX,1971.0,M,M23,10.986,165367
2017,03.06.2017,Shadow of the Giants 50K (USA),50km,113,13521.0,"*Mill Valley, CA",USA,1968.0,M,M45,13.313,69513
1994,04.06.1994,Shadow of the Giants 50K (USA),50km,128,13175.0,,USA,1959.0,M,M23,13662.0,1069625
2005,04.06.2005,Shadow of the Giants 50K (USA),50km,88,14461.0,,MEX,1971.0,M,M23,12.447,165367
2011,04.06.2011,Shadow of the Giants 50K (USA),50km,96,12286.0,,USA,1976.0,M,M35,14.651,117538
1993,05.06.1993,Shadow of the Giants 50K (USA),50km,36,13772.0,,USA,1954.0,M,M35,13070.0,165468
1999,05.06.1999,Shadow of the Giants 50K (USA),50km,109,13971.0,,USA,1972.0,M,M23,12.884,86511
2004,05.06.2004,Shadow of the Giants 50K (USA),50km,113,15523.0,,USA,1966.0,M,M35,11.596,1122519
2010,05.06.2010,Shadow of the Giants 50K (USA),50km,118,15342.0,,MEX,1971.0,M,M35,11.732,165367
1998,06.06.1998,Shadow of the Giants 50K (USA),50km,117,14357.0,,USA,1954.0,M,M40,12.537,165468
2015,06.06.2015,Shadow of the Giants 50K (USA),50km,82,14054.0,,MEX,1971.0,M,M40,12.808,165367
1997,07.06.1997,Shadow of the Giants 50K (USA),50km,103,15188.0,,USA,1954.0,M,M40,11.851,165468
2003,07.06.2003,Shadow of the Giants 50K (USA),50km,87,15559.0,,USA,1966.0,M,M35,11.569,1122519
2014,07.06.2014,Shadow of the Giants 50K (USA),50km,122,13219.0,,MEX,1971.0,M,M40,13.617,165367
2013,08.06.2013,Shadow of the Giants 50K (USA),50km,88,13422.0,,MEX,1971.0,M,M40,13.411,165367
2019,08.06.2019,Shadow of the Giants 50K (USA),50km,147,13997.0,"*Occidental, CA",USA,1996.0,M,MU23,12.86,165368
2018,09.06.2018,Shadow of the Giants 50K (USA),50km,157,13557.0,"*Visalia, CA",USA,1990.0,M,M23,13.277,55338
2016,11.06.2016,Shadow of the Giants 50K (USA),50km,123,13691.0,,USA,1975.0,M,M40,13.147,388583
2022,11.06.2022,Shadow of the Giants 50K (USA),50km,126,15624.0,"*Fresno, CA",USA,1987.0,M,M23,11.521,41364
2021,12.06.2021,Shadow of the Giants 50K (USA),50km,107,16978.0,"*Fresno, CA",USA,1994.0,M,M23,10.602,902758
1992,30.05.1992,Shadow of the Giants 50K (USA),50km,218,13548.0,,FIN,1946.0,M,M45,13286.0,140579
2009,30.05.2009,Shadow of the Giants 50K (USA),50km,123,15177.0,,USA,1973.0,M,M35,11.86,404597
2008,31.05.2008,Shadow of the Giants 50K (USA),50km,93,15456.0,,MEX,1971.0,M,M35,11.646,165367
2021,12.12.2021,Shale Trail Run (GBR),50km,18,13834.0,Team Pyllon,GBR,1982.0,M,M35,13.011,85415
2020,13.12.2020,Shancheng 50 Km Ultramarathon (TPE),50km,98,15769.0,林園清水岩路跑協會,TPE,,M,,11.415,844737
2019,27.10.2019,Shangri-La Hutiao Haba Trail (CHN),50km,33,17926.0,,CHN,1993.0,M,M23,10.041,12664
2020,17.-18.10.2020,Shangri-La Hutiao Haba Trail - 50km (CHN),50km,74,26340.0,,CHN,1980.0,M,M35,6.834,117946
2016,21.05.2016,Shangri-La Meili 50 Km (CHN),50km,48,24949.0,跑吧 running8.com,CHN,1967.0,M,M45,7.215,312786
2015,25.04.2015,Shangri-La Meili 50 Km (CHN),50km,66,25309.0,,USA,1983.0,M,M23,7.112,416037
2016,05.10.2016,Shanhaiguan 50K (CHN),50km,17,35400.0,,CHN,1994.0,F,WU23,5.085,113539
2018,13.10.2018,Shanhaiguan 50K (CHN),50km,56,31150.0,,CHN,1987.0,M,M23,5.778,92720
2020,17.10.2020,Shanhaiguan 50K (CHN),50km,134,25635.0,,CHN,1985.0,M,M23,7.022,92710
2017,23.09.2017,Shanhaiguan 50K (CHN),50km,14,34525.0,,CHN,1987.0,F,W23,5.214,34363
2018,20.05.2018,Shantou Nanao Trail (CHN),50km,148,20119.0,,CHN,1991.0,M,M23,8.947,194845
2016,03.09.2016,Shanying 50K Chongqing (CHN),50km,42,23252.0,,CHN,1993.0,M,MU23,7.741,69799
2017,09.09.2017,Shanying 50K Chongqing (CHN),50km,50,24966.0,,CHN,1967.0,M,M50,7.21,71602
2019,21.09.2019,Shaolin 50 Km Run (CHN),50km,59,20180.0,,CHN,1986.0,M,M23,8.92,276892
2017,12.11.2017,Shaowu Road Trail (CHN),50km,70,17445.0,,CHN,1993.0,M,M23,10.318,78433
2018,23.09.2018,Shaowu Road Trail (CHN),50km,210,19128.0,,CHN,1986.0,M,M23,9.41,73759
2022,25.06.2022,Sharp Top 50 km Race (USA),50km,48,18460.0,"*Mifflinburg, PA",USA,1984.0,M,M35,9.751,898839
2021,26.06.2021,Sharp Top 50 km Race (USA),50km,54,16493.0,"*York, PA",USA,1988.0,M,M23,10.914,102937
2021,05.06.2021,Sharpness 50 (GBR),50km,33,14999.0,Dursley Running Club,GBR,1980.0,M,M40,12.001,367188
2019,08.06.2019,Sharpness 50 (GBR),50km,15,14953.0,Bitton Road Runners,GBR,1984.0,M,M35,12.038,124172
2022,11.06.2022,Sharpness 50 (GBR),50km,33,15518.0,Severn AC,GBR,1981.0,M,M40,11.599,11965
2022,08.10.2022,Shawnee 50 km Trail Run (USA),50km,48,20296.0,"*Milford, OH",USA,1987.0,M,M35,8.869,696569
2021,09.10.2021,Shawnee 50 km Trail Run (USA),50km,65,19830.0,"*Columbus, OH",USA,1997.0,M,M23,9.077,921712
2020,22.-23.08.2020,Shawnee Hills 100 - 50 Km (USA),50km,62,19289.0,"*Nashville, TN",USA,1992.0,M,M23,9.332,840476
2019,24.-25.08.2019,Shawnee Hills 100 - 50 Km (USA),50km,47,19545.0,"*Huntington, WV",USA,1983.0,M,M35,9.21,105213
2018,25.-26.08.2018,Shawnee Hills 100 - 50 Km (USA),50km,40,22580.0,"*Winchester, VA",USA,1984.0,F,W23,7.972,65868
2017,26.-27.08.2017,Shawnee Hills 100 - 50 Km (USA),50km,35,18910.0,"*Ballwin, MO",USA,1978.0,M,M35,9.519,602611
2022,27.-28.08.2022,Shawnee Hills 100 - 50 Km (USA),50km,70,16422.0,"*Springfield, IL",USA,1987.0,M,M23,10.961,333573
2021,28.-29.08.2021,Shawnee Hills 100 - 50 Km (USA),50km,59,22393.0,"*Chicago, IL",USA,1988.0,M,M23,8.038,86030
2013,15.06.2013,She Rocks the Trails (USA),50km,14,19837.0,"*Auburn, CA",USA,1975.0,F,W35,9.074,46349
2012,16.06.2012,She Rocks the Trails (USA),50km,20,18880.0,"*Redding, CA",USA,1960.0,F,W50,9.534,42514
2020,01.08.2020,Sheep Mountain 50 km Endurance Run (USA),50km,77,17880.0,"*Taos, NM",USA,1988.0,M,M23,10.067,235911
2019,03.08.2019,Sheep Mountain 50 km Endurance Run (USA),50km,62,17460.0,"*Boulder, CO",USA,1988.0,M,M23,10.309,33251
2018,04.08.2018,Sheep Mountain 50 km Endurance Run (USA),50km,36,20220.0,"*Edgewater, CO",USA,1986.0,M,M23,8.902,46118
2022,06.08.2022,Sheep Mountain 50 km Endurance Run (USA),50km,59,22200.0,"*Breckenridge, CO",USA,1991.0,M,M23,8.108,1009075
2021,07.08.2021,Sheep Mountain 50 km Endurance Run (USA),50km,63,21780.0,,USA,1980.0,M,M40,8.264,47221
2017,26.11.2017,Shengzhou Trail Challenge (CHN),50km,210,15433.0,,CHN,1998.0,M,MU23,11.663,71592
2014,07.06.2014,Shenyang 50K (CHN),50km,177,15300.0,,CHN,,M,,11.765,1443997
2016,03.12.2016,Shenzhen 50 km Int. Trail Race (CHN),50km,24,40301.0,,CHN,1993.0,M,MU23,4.466,297549
2017,11.11.2017,Shenzhen Coastline 50 Int. Trail (CHN),50km,10,24659.0,,CHN,1991.0,M,M23,7.3,116555
2016,05.03.2016,Shenzhen Dapeng 50K (CHN),50km,68,23356.0,漳州友吧,CHN,1986.0,M,M23,7.707,73759
2018,01.01.2018,Shenzhen Wutong New Year Trail (CHN),50km,116,28939.0,,CHN,1996.0,M,MU23,6.22,476
2018,29.09.2018,Shepherd's Spring 50 Km Trail Race (USA),50km,26,17858.0,"*Philadelphia, PA",USA,1991.0,M,M23,10.08,180360
1996,15.09.1996,Shepparton Runners Club 100km - 50km split (AUS),50km,13,11842.0,*VIC,AUS,1956.0,M,M40,15.2,1049674
1995,17.09.1995,Shepparton Runners Club 100km - 50km split (AUS),50km,10,11891.0,*ACT,AUS,1951.0,M,M40,15137.0,26540
1996,15.09.1996,Shepparton Runners Club 50km (AUS),50km,11,13034.0,*VIC,AUS,1949.0,M,M45,13.81,1049679
1994,16.10.1994,Shepparton Runners Club 50km (AUS),50km,16,12960.0,"*Shepparton, VIC",AUS,,M,,13889.0,1635618
1995,17.09.1995,Shepparton Runners Club 50km (AUS),50km,15,12849.0,*NSW,AUS,1964.0,M,M23,14009.0,1080192
2013,25.08.2013,Shiding 50km Ultramarathon (TPE),50km,460,16351.0,,TPE,1972.0,M,M40,11.009,63952
2017,10.09.2017,Shinshu-Togakushi Trail Run Race (JPN),50km,216,18643.0,,JPN,1989.0,M,M23,9.655,50785
2016,24.09.2016,Shinshu-Togakushi Trail Run Race (JPN),50km,191,19376.0,,JPN,1980.0,M,M35,9.29,318344
2020,12.11.2020,Shivalik Ultra Run 50 Km (IND),50km,7,19140.0,,IND,,M,,9.404,851785
2021,13.11.2021,Shivalik Ultra Run 50 Km (IND),50km,7,16980.0,,IND,1983.0,M,M35,10.601,47553
2018,24.11.2018,Shivalik Ultra Run 50 Km (IND),50km,27,15960.0,,IND,1995.0,M,M23,11.278,357663
2019,24.11.2019,Shivalik Ultra Run 50 Km (IND),50km,15,19080.0,,IND,1993.0,M,M23,9.434,802131
2022,09.04.2022,Shore2Shore Trail Race (USA),50km,137,13533.0,"*New York, NY",USA,1991.0,M,M23,13.301,360735
2021,10.04.2021,Shore2Shore Trail Race (USA),50km,131,14555.0,"*West Babylon, NY",USA,1985.0,M,M35,12.367,78967
2021,11.04.2021,Shore2Shore Trail Race (USA),50km,36,14203.0,"*Old Tappan, NJ",USA,1980.0,M,M40,12.673,222592
2019,20.04.2019,Shore2Shore Trail Race (USA),50km,55,16004.0,"*Quogue, NY",USA,1979.0,F,W35,11.247,121105
2017,04.11.2017,Short Circuit Ultra 50km (GBR),50km,40,19113.0,,GBR,1977.0,M,M40,9.418,265908
2017,01.04.2017,Shotgun Trail Blast (USA),50km,10,14991.0,,USA,1978.0,M,M35,12.007,126071
2011,02.04.2011,Shotgun Trail Blast (USA),50km,7,13981.0,"*Eugene, OR",USA,1972.0,M,M35,12.875,1220514
2016,02.04.2016,Shotgun Trail Blast (USA),50km,12,16561.0,,USA,1978.0,M,M35,10.869,126071
2022,02.04.2022,Shotgun Trail Blast (USA),50km,9,17558.0,"*Eugene, OR",USA,1986.0,M,M35,10.252,763702
2021,03.04.2021,Shotgun Trail Blast (USA),50km,20,16154.0,*OR,USA,1978.0,M,M40,11.143,48187
2015,04.04.2015,Shotgun Trail Blast (USA),50km,13,13120.0,,GER,1981.0,M,M23,13.72,55314
2014,05.04.2014,Shotgun Trail Blast (USA),50km,6,16235.0,,USA,1972.0,M,M40,11.087,1220514
2013,06.04.2013,Shotgun Trail Blast (USA),50km,8,16685.0,,USA,1990.0,M,MU23,10.788,30652
2019,06.04.2019,Shotgun Trail Blast (USA),50km,19,15828.0,"*Eugene, OR",USA,1981.0,M,M35,11.372,150172
2012,07.04.2012,Shotgun Trail Blast (USA),50km,4,17102.0,,USA,1978.0,M,M23,10.525,126071
2018,07.04.2018,Shotgun Trail Blast (USA),50km,8,16156.0,"*Harrisburg, OR",USA,1978.0,M,M35,11.141,126071
2010,27.03.2010,Shotgun Trail Blast (USA),50km,19,12524.0,"*Eugene, OR",USA,1973.0,M,M35,14.372,1235707
2020,05.09.2020,Showdown at Sundown 50 km Ultra Run (USA),50km,5,19169.0,,USA,1974.0,M,M45,9.39,838535
2020,20.09.2020,Shudder Sheipa Ultramarathon - 50km (TPE),50km,71,15063.0,,TPE,1968.0,M,M50,11.95,36441
2019,24.11.2019,Siangpure Chiangmai Eco Trail (THA),50km,38,30532.0,,THA,1994.0,M,M23,5.895,802140
2006,11.09.2006,Sibiu Race Walking Invitational (ROU),50km,1,15088.0,Racewalker,MDA,1973.0,M,M23,11.93,1200631
2015,25.04.2015,Sierra Azul Trail Challenge (USA),50km,5,21732.0,,USA,1983.0,M,M23,8.283,553376
2014,26.04.2014,Sierra Azul Trail Challenge (USA),50km,5,21732.0,,USA,1983.0,M,M23,8.283,553376
2013,27.04.2013,Sierra Azul Trail Challenge (USA),50km,3,21990.0,,USA,1982.0,M,M23,8.186,421991
2019,27.04.2019,Sierra Azul Trail Challenge (USA),50km,10,19851.0,,USA,1977.0,M,M40,9.068,25617
2018,28.04.2018,Sierra Azul Trail Challenge (USA),50km,5,18891.0,,USA,1977.0,M,M40,9.528,25617
2017,29.04.2017,Sierra Azul Trail Challenge (USA),50km,4,23095.0,,USA,1977.0,M,M35,7.794,25617
2016,30.04.2016,Sierra Azul Trail Challenge (USA),50km,5,24690.0,,USA,1952.0,M,M60,7.29,35715
2022,30.04.2022,Sierra Azul Trail Challenge (USA),50km,16,18524.0,"*San Francisco, CA",USA,1993.0,M,M23,9.717,912236
2017,05.08.2017,Sierra Crest 50K Ultra Run (USA),50km,81,15813.0,"*Truckee, CA",USA,1984.0,M,M23,11.383,480548
2016,06.08.2016,Sierra Crest 50K Ultra Run (USA),50km,61,15068.0,"*Truckee, CA",USA,1984.0,M,M23,11.946,480548
2015,08.08.2015,Sierra Crest 50K Ultra Run (USA),50km,24,15053.0,"*Bend, OR",USA,1982.0,M,M23,11.958,440079
2018,13.07.2018,Sierra Crest Run (USA),50km,62,14290.0,"*South Lake Tahoe, CA",USA,1986.0,M,M23,12.596,237970
2019,02.03.2019,Sierra Vista Trail Runs 50K (USA),50km,58,15358.0,"*Las Cruces, NM",USA,1973.0,M,M45,11.72,34064
2018,03.03.2018,Sierra Vista Trail Runs 50K (USA),50km,40,15511.0,"*Las Cruces, NM",USA,1973.0,M,M40,11.605,34064
2017,04.03.2017,Sierra Vista Trail Runs 50K (USA),50km,55,15336.0,"*Las Cruces, NM",USA,1973.0,M,M40,11.737,34064
2016,05.03.2016,Sierra Vista Trail Runs 50K (USA),50km,62,16295.0,"*Cloudcroft, NM",USA,1972.0,M,M40,11.046,34076
2015,07.03.2015,Sierra Vista Trail Runs 50K (USA),50km,36,14657.0,"*Las Cruces, NM",USA,1973.0,M,M40,12.281,34064
2014,08.03.2014,Sierra Vista Trail Runs 50K (USA),50km,29,15886.0,"*El Paso, TX",USA,1982.0,M,M23,11.331,213766
2020,29.02.2020,Sierra Vista Trail Runs 50K (USA),50km,48,16698.0,"*Sunburst, MT",USA,1983.0,M,M35,10.78,34068
2018,13.10.2018,Sierra de Cazorla - Maraton 50k (ESP),50km,64,19718.0,,ESP,1978.0,M,M35,9.129,31745
2017,28.01.2017,Sierraloma Run (ECU),50km,13,22295.0,,ECU,1969.0,M,M45,8.074,20830
2016,30.01.2016,Sierraloma Run (ECU),50km,51,18325.0,,ECU,1992.0,M,M23,9.823,357242
2017,10.06.2017,Sietland-Ultra (GER),50km,13,18240.0,LG Ultralauf,GER,1967.0,M,M50,9.868,24939
2021,17.07.2021,Sietland-Ultra (GER),50km,21,17595.0,TEA Barnstorf,GER,1970.0,M,M50,10.23,24972
2015,05.04.2015,Signes Trail - La Trace des Monrieux (FRA),50km,75,17970.0,Team Mizuno Terre De R...,FRA,1977.0,M,M35,10.017,147602
2019,07.12.2019,Siksorogo Lawu Ultra 50 (INA),50km,70,31664.0,,INA,1998.0,M,MU23,5.685,796620
2018,01.10.2018,Silk Road Ultra Trail (CHN),50km,11,62591.0,,CHN,1990.0,M,M23,2.876,329538
2021,29.05.2021,Sillamäe Ultra - 50km (EST),50km,8,13755.0,,EST,1976.0,M,M40,13.086,206772
2012,23.06.2012,Silver City 50 km Endurance Run (USA),50km,32,19189.0,"*Brighton, UT",USA,1961.0,M,M50,9.38,417244
2014,01.11.2014,Silver Falls Trail Run (USA),50km,153,14049.0,"*Bend, OR",USA,1979.0,M,M23,12.812,150170
2019,02.11.2019,Silver Falls Trail Run (USA),50km,146,13813.0,"*College Place, WA",USA,1992.0,M,M23,13.031,46069
2018,03.11.2018,Silver Falls Trail Run (USA),50km,156,14992.0,"*Yachats, OR",USA,1978.0,M,M35,12.006,67981
2017,04.11.2017,Silver Falls Trail Run (USA),50km,175,15223.0,,USA,1990.0,M,M23,11.824,369875
2016,05.11.2016,Silver Falls Trail Run (USA),50km,190,14918.0,"*Eugene, OR",USA,1979.0,M,M35,12.066,76047
2022,05.11.2022,Silver Falls Trail Run (USA),50km,117,16150.0,"*Leadville, CO",USA,1989.0,M,M23,11.146,892063
2021,06.11.2021,Silver Falls Trail Run (USA),50km,113,15469.0,"*Stayton, OR",USA,2000.0,M,MU23,11.636,881471
2015,07.11.2015,Silver Falls Trail Run (USA),50km,149,16275.0,"*Silverton, OR",USA,1987.0,M,M23,11.06,1515901
1999,15.05.1999,Silver State 50 km (USA),50km,76,19802.0,,USA,1961.0,M,M35,9.09,565237
2004,15.05.2004,Silver State 50 km (USA),50km,66,18179.0,"*Reno, NV",USA,1968.0,M,M35,9.902,1127694
2010,15.05.2010,Silver State 50 km (USA),50km,71,14551.0,"*Portland, OR",USA,1978.0,M,M23,12.37,67459
2021,15.05.2021,Silver State 50 km (USA),50km,72,16251.0,"*Bend, OR",USA,1973.0,M,M45,11.076,730713
1992,16.05.1992,Silver State 50 km (USA),50km,47,16792.0,"*Reno, NV",USA,1956.0,M,M35,10719.0,1053464
1998,16.05.1998,Silver State 50 km (USA),50km,66,22030.0,,SLO,1960.0,M,M35,8.171,1063792
2009,16.05.2009,Silver State 50 km (USA),50km,39,15921.0,"*Truckee, CA",USA,1972.0,M,M35,11.306,199983
2015,16.05.2015,Silver State 50 km (USA),50km,81,15507.0,,USA,1990.0,M,M23,11.608,33264
1997,17.05.1997,Silver State 50 km (USA),50km,82,19766.0,,USA,1961.0,M,M35,9.107,1079559
2003,17.05.2003,Silver State 50 km (USA),50km,79,20119.0,"*Reno, NV, USA",SLO,1960.0,M,M40,8.947,1063792
