Year of event,Event dates,Event name,Event distance/length,Event number of finishers,Athlete performance,Athlete club,Athlete country,Athlete year of birth,Athlete gender,Athlete age category,Athlete average speed,Athlete ID
2014,23.03.2014,100km Internacionales Madrid - 50km Split (ESP),50km,23,12948.0,,ESP,1972.0,M,M40,13.902,443260
2008,14.06.2008,100km Lauf im Stadtgut Steyr - 50km Split (AUT),50km,39,12791.0,ASKÖ Villach,AUT,1961.0,M,M45,14.072,289260
2011,17.09.2011,100km Lauf im Stadtgut Steyr - 50km Split (AUT),50km,31,12936.0,SK Vöest,AUT,1969.0,M,M40,13.915,235227
2010,18.09.2010,100km Lauf im Stadtgut Steyr - 50km Split (AUT),50km,21,14284.0,LC Strasshof,AUT,1990.0,M,MU23,12.602,11408
2009,19.09.2009,100km Lauf im Stadtgut Steyr - 50km Split (AUT),50km,26,12649.0,HSV Wals Trendsport,AUT,1978.0,M,M23,14.23,39783
2000,08.04.2000,100km Le Cerchie - 50km split (ITA),50km,33,11802.0,,HUN,1974.0,M,M23,15.252,1047371
2001,22.04.2001,"100km Meisterschaft von Russland, Chernogolovka - 50km Split (RUS)",50km,36,11183.0,*Jelesnogorsk,RUS,1980.0,M,MU23,16.096,483218
2000,23.04.2000,"100km Meisterschaft von Russland, Chernogolovka - 50km Split (RUS)",50km,20,11699.0,*Naberejnaia Celni,RUS,1970.0,M,M23,15.386,1103527
1996,28.09.1996,100km Nantes Track Trophy for Woman - 50km Split (FRA),50km,14,12514.0,,RUS,1958.0,F,W35,14.384,1048252
2018,31.03.2018,100km Redwick - 50km Split (GBR),50km,8,12377.0,Bournemouth AC,GBR,1977.0,M,M40,14.543,133069
2018,10.03.2018,100km Rheine - 50 km Split (GER),50km,142,12581.0,LG Nord Berlin Ultrateam,GER,1988.0,M,M30,14.307,24858
2006,09.12.2006,100km Ultrafondo de La Pobla de Vallbona - 50km Split (ESP),50km,52,12221.0,*Rybinsk,RUS,1970.0,M,M35,14.729,183234
1999,18.09.1999,100km de Saint-Donat - 50km Split (CAN),50km,39,12415.0,"*Meaford, ON",CAN,1957.0,M,M40,14.499,1072312
2015,11.04.2015,100km von St. Leon-Rot - 50km Split (GER),50km,83,12965.0,SV Amberg,GER,1975.0,M,M40,13.884,304992
2010,27.06.2010,12 h Lauf Brühl - 50km Split (GER),50km,65,16074.0,Brühler TV 1879,GER,1972.0,M,M35,11.198,201910
2015,17.10.2015,12 horas de Terrassa (Barcelona) - 50km Split (ESP),50km,8,13784.0,,ESP,1972.0,M,M40,13.059,386922
1993,27.02.1993,12 hour Track Race Coburg - 50km Split (AUS),50km,2,16404.0,,AUS,,M,,10973.0,1635206
2015,13.06.2015,12 hrs Run Palic - 50km Split (SRB),50km,11,16161.0,,HUN,1980.0,F,W23,11.138,19864
2016,18.06.2016,12 hrs Run Palic - 50km Split (SRB),50km,11,17381.0,,HUN,1974.0,M,M40,10.356,21219
2013,01.12.2013,"12 ore del Sole, Palermo - 50km split (ITA)",50km,14,16025.0,,ITA,1967.0,M,M45,11.232,28629
2009,07.-08.02.2009,12h Caboolture Historical Village Dusk to Dawn - 50km Split (AUS),50km,14,15532.0,*QLD,AUS,1972.0,M,M35,11.589,19647
1997,08.-09.02.1997,12h Caboolture Historical Village Dusk to Dawn - 50km Split (AUS),50km,8,18770.0,,AUS,1955.0,M,M40,9.59,38959
2012,11.-12.02.2012,12h Caboolture Historical Village Dusk to Dawn - 50km Split (AUS),50km,25,15749.0,"*North Rockhampton, QLD",AUS,1971.0,M,M40,11.429,75225
2008,12.04.2008,12h Mellsta Ultra - 50km Split (SWE),50km,25,12736.0,LK TV-88,SWE,1975.0,M,M23,14.133,1166337
2011,02.07.2011,12h Tomsk Ultramarathon - 50km Split (RUS),50km,19,15744.0,,RUS,1959.0,M,M50,11.433,1108700
2012,07.07.2012,12h Tomsk Ultramarathon - 50km Split (RUS),50km,19,15460.0,*Novosibirsk,RUS,1975.0,F,W35,11.643,1210537
2021,15.05.2021,12h Ultrafondo En Pista Ciudad Real - 50km split (ESP),50km,20,12116.0,C.D.Metaesport,ESP,1991.0,M,M23,14.856,114700
2022,19.-20.03.2022,12hrs Sittard - 50km Split (NED),50km,11,15617.0,,GER,1970.0,M,M50,11.526,24872
2021,02.01.2021,1390 Archipelago Trail - 50km (CHN),50km,84,21716.0,,CHN,1997.0,M,M23,8.289,366656
2021,02.10.2021,2. Breckerfelder Flower Power Ultra 50 (GER),50km,17,24806.0,*Castrop-Rauxel,GER,1982.0,F,W35,7.256,21477
2022,12.11.2022,2. Hallescher 6-Stunden-Lauf - 50km-Split (GER),50km,30,13808.0,1.FC Lokomotive Leipzig,GER,1975.0,M,M45,13.036,24864
2019,02.02.2019,2. Hamburger-Kost-Nix-Ultra (GER),50km,22,18180.0,FC St. Pauli Marathon,GER,1989.0,M,M30,9.901,7337
2021,17.10.2021,2. Holter Wald Ultra HWU-50k (GER),50km,19,14205.0,3Mountaintrail.run,GER,1989.0,M,M30,12.672,659985
2007,06.10.2007,200km de Vallorbe Walking - 50 km (SUI),50km,1,23462.0,,FRA,1964.0,M,M40,7.672,923236
1989,19.02.1989,24 Hour Indoor Race Milton Keynes - 50km Split (GBR),50km,1,12887.0,,NZL,1948.0,M,M40,13968.0,1106103
1982,20.-21.11.1982,24 Hour Track Race Bingham - 50km Split (GBR),50km,1,13448.0,,GBR,1947.0,F,W35,13385.0,1065949
2015,21.03.2015,24 Hours of Utah - 50 km race (USA),50km,19,19260.0,"*Harriman, TN",USA,1981.0,M,M23,9.346,165331
2014,22.03.2014,24 Hours of Utah - 50 km race (USA),50km,15,14160.0,"*Denver, CO",USA,1983.0,M,M23,12.712,179774
1984,08.-09.09.1984,24 Stundenlauf Mörlenbach - 50km Split (GER),50km,12,12990.0,SSC Hanau-Rodenbach,GER,1936.0,M,M45,13857.0,1047203
1988,10.-11.09.1988,24 Stundenlauf Mörlenbach - 50km Split (GER),50km,25,13913.0,,GER,1962.0,M,M20,12938.0,1047167
1989,13.-14.05.1989,24 Stundenlauf Mörlenbach - 50km Split (GER),50km,57,13306.0,SV Vogt,GER,1944.0,M,M45,13528.0,1594723
1986,13.-14.09.1986,24 Stundenlauf Mörlenbach - 50km Split (GER),50km,37,13320.0,LC Mengerskirchen,GER,,M,,13514.0,1593643
1985,14.-15.09.1985,24 Stundenlauf Mörlenbach - 50km Split (GER),50km,33,13487.0,LG Nürnberg,GER,1936.0,M,M45,13346.0,1559685
1990,17.-18.08.1990,24 h Lauf Elze - 50km Split (GER),50km,51,14603.0,UK Apex,RUS,1958.0,M,M30,12326.0,1437343
1990,15.06.1990,24 h Lauf Mittersill - 50km Split (AUT),50km,35,11935.0,LAV Bayer Dormagen,GER,1944.0,M,M45,15082.0,1540318
1981,02.05.1981,24 heures de Lausanne - 50km Split (SUI),50km,3,13524.0,,CZE,1951.0,M,M23,13310.0,1089735
1977,15.-16.10.1977,24 hour Crystal Palace Track Race - 50km Split (GBR),50km,1,11702.0,,GBR,1944.0,M,M23,15382.0,1050313
1990,10.-11.03.1990,24 hour Track Race Coburg - 50km Split (AUS),50km,45,14481.0,,AUS,1960.0,M,M23,12430.0,1046125
1991,23.-24.02.1991,24 hour Track Race Coburg - 50km Split (AUS),50km,29,14355.0,,AUS,1959.0,M,M23,12539.0,1050586
1989,25.-26.02.1989,24 hour Track Race Coburg - 50km Split (AUS),50km,39,13380.0,*VIC,CAN,1957.0,M,M23,13453.0,1344418
1993,27.-28.02.1993,24 hour Track Race Coburg - 50km Split (AUS),50km,8,15350.0,,NZL,,M,,11726.0,1046123
2015,13.-14.06.2015,24 hrs Run Palic - 50km Split (SRB),50km,12,17572.0,,SRB,1973.0,M,M40,10.244,23289
2016,18.-19.06.2016,24 hrs Run Palic - 50km Split (SRB),50km,20,16470.0,,SRB,1987.0,M,M23,10.929,206366
2017,11.-12.11.2017,24 ore IUTA - Reggio Emilia - 50km split (ITA),50km,31,16799.0,,ITA,1971.0,M,M45,10.715,83602
2003,21.-22.06.2003,24 ore del Delfino - 50km Split (ITA),50km,39,15841.0,C.U.C.P.L.Rum O Connor...,ITA,1959.0,M,M40,11.363,180538
2013,30.11.2013,"24 ore del Sole, Palermo - 50km split (ITA)",50km,29,16063.0,,ITA,1971.0,M,M40,11.206,2323
1990,02.-03.06.1990,24 uurs Apeldoorn - 50km Split (NED),50km,46,13505.0,TV Mülheim,GER,1939.0,M,M50,13328.0,1047317
2014,09.-10.05.2014,24h 'Sutki Begom' Moscow - 50km Split (RUS),50km,57,14630.0,*Khabarovsk,RUS,1987.0,M,M23,12.303,1425302
2013,11.-12.05.2013,24h 'Sutki Begom' Moskau - 50km Split (RUS),50km,49,15153.0,*Moscow,RUS,1966.0,M,M45,11.879,19714
2012,12.-13.05.2012,24h 'Sutki Begom' Moskau - 50km Split (RUS),50km,54,14368.0,*Kursk.,RUS,1980.0,M,M23,12.528,483218
2020,12.-13.09.2020,24h 'Sutki Begom' Moskau - 50km Split (RUS),50km,14,15444.0,42Км+,RUS,1975.0,M,M45,11.655,113006
2016,14.-15.05.2016,24h 'Sutki Begom' Moskau - 50km Split (RUS),50km,71,15041.0,*Jekaterinburg,RUS,1979.0,M,M35,11.967,396413
2011,14.05.2011,24h 'Sutki Begom' Moskau - 50km Split (RUS),50km,50,14140.0,*Saha (Yakutiya) resp.,RUS,1989.0,M,MU23,12.73,1326358
2022,31.12.2022-01.01.2023,24h Across the years Ireland - 50km split (IRL),50km,15,11866.0,CD Metaesport Valencie,ESP,1991.0,M,M23,15.169,114700
1986,22.-23.03.1986,24x1 ora di Asti - 50km split (ITA),50km,1,16843.0,,ITA,1960.0,M,M23,10687.0,65804
2020,03.10.2020,3 Days at the Fair 50 Km Race (USA),50km,6,12978.0,*IN,USA,1965.0,M,M50,13.87,860276
2016,14.05.2016,3 Days at the Fair 50 Km Race (USA),50km,21,18193.0,"*Englewood, NJ",USA,1957.0,M,M55,9.894,198340
2022,14.05.2022,3 Days at the Fair 50 Km Race (USA),50km,11,16313.0,"*Manalapan, NJ",USA,1972.0,M,M45,11.034,367613
2017,15.05.2017,3 Days at the Fair 50 Km Race (USA),50km,14,19358.0,"*Rumson, NJ",USA,1963.0,M,M50,9.298,120509
2021,15.05.2021,3 Days at the Fair 50 Km Race (USA),50km,12,18415.0,"*Bronx, NY",USA,1986.0,F,W23,9.775,877811
2015,16.05.2015,3 Days at the Fair 50 Km Race (USA),50km,14,17525.0,,USA,1983.0,M,M23,10.271,210951
2014,18.05.2014,3 Days at the Fair 50 Km Race (USA),50km,11,16159.0,"*Saddle River, NJ",USA,1992.0,F,WU23,11.139,1424920
2019,18.05.2019,3 Days at the Fair 50 Km Race (USA),50km,10,16750.0,"*Effort, PA",USA,1971.0,M,M45,10.746,219345
2018,19.05.2018,3 Days at the Fair 50 Km Race (USA),50km,16,19333.0,*NJ,USA,1973.0,M,M40,9.311,198339
2013,16.-19.05.2013,3 Days at the Fair 50km Race (USA),50km,15,17370.0,*NJ,USA,1962.0,M,M50,10.363,576026
2020,11.10.2020,3 Ring Road - Beijing (CHN),50km,19,14137.0,,CHN,1972.0,M,M45,12.733,858151
2021,22.05.2021,3 Ring Road - Beijing (CHN),50km,30,16492.0,,CHN,,M,,10.914,874283
2021,23.05.2021,3 Valleys Runningworks Altra (AUS),50km,13,18027.0,,AUS,1986.0,M,M35,9.985,813660
2022,29.05.2022,3 Valleys Runningworks Altra (AUS),50km,18,15965.0,,AUS,,M,,11.275,524160
2019,07.04.2019,3 Waters Running Festival 50 km Ultramarathon (AUS),50km,27,12624.0,,RSA,1976.0,M,M40,14.259,153486
2018,08.04.2018,3 Waters Running Festival 50 km Ultramarathon (AUS),50km,21,12928.0,,AUS,1970.0,M,M45,13.923,65339
2017,09.04.2017,3 Waters Running Festival 50 km Ultramarathon (AUS),50km,31,13514.0,,AUS,1982.0,M,M23,13.32,545465
2016,10.04.2016,3 Waters Running Festival 50 km Ultramarathon (AUS),50km,47,12775.0,Parkrun,AUS,1970.0,M,M45,14.09,65339
2021,11.04.2021,3 Waters Running Festival 50 km Ultramarathon (AUS),50km,22,11344.0,,AUS,1987.0,M,M23,15.867,311982
2015,12.04.2015,3 Waters Running Festival 50 km Ultramarathon (AUS),50km,36,12970.0,,AUS,1986.0,M,M23,13.878,393868
2014,13.04.2014,3 Waters Running Festival 50 km Ultramarathon (AUS),50km,39,13052.0,,AUS,1984.0,M,M23,13.791,573962
2013,14.04.2013,3 Waters Running Festival 50 km Ultramarathon (AUS),50km,34,12035.0,,AUS,,M,,14.956,1400135
2022,28.08.2022,3 Waters Running Festival 50 km Ultramarathon (AUS),50km,7,14331.0,,AUS,1988.0,F,W23,12.56,868228
2022,01.10.2022,3. Breckerfelder Flower Power Ultra 50 (GER),50km,30,18944.0,FC St. Pauli Marathon,GER,1989.0,M,M30,9.502,7337
2022,05.03.2022,3. Deutscher-Olymp-Marathon (GER),50km,4,16866.0,Lunge DER Laufladen,GER,1970.0,M,M50,10.672,275016
2013,12.10.2013,30 Miles Camomiles (RUS),50km,4,18824.0,*Moscow region,RUS,1981.0,M,M23,9.562,491027
2013,27.07.2013,30 Miles Camomiles (RUS),50km,3,20385.0,IRC,RUS,1978.0,M,M35,8.83,145704
2018,08.-09.12.2018,36 Hours of Jack 100 Mile - 50km Split (USA),50km,6,19103.0,"*Springfield, MO",USA,1964.0,M,M50,9.423,348025
2017,09.-10.12.2017,36 Hours of Jack 100 Mile - 50km Split (USA),50km,7,17996.0,"*Cairo, NE",USA,1982.0,M,M23,10.002,28460
2018,08.12.2018,36 Hours of Jack 100K - 50km Split (USA),50km,6,17485.0,"*Neosho, MO",USA,1953.0,M,M60,10.295,83324
2017,09.12.2017,36 Hours of Jack 100K - 50km Split (USA),50km,8,20196.0,"*Springfield, MO",USA,1977.0,M,M35,8.913,19199
